,tweets
408,['@jiminscold Só se eu soubesse onde que tá o Bolsonaro']
409,['RT @o_antagonista: Moro apresenta novas provas e reafirma acusações a Bolsonaro em depoimento na PF https://t.co/aXOm9JaO0A']
410,"['RT @PATRlOTAS: Moro entregou para PF conversas não só com Bolsonaro, também entregou conversas que teve com ministros do governo. O Judas t…']"
411,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶']"
412,"['RT @naoestou_avenda: Segundo o ANTAGONISTA, Moro mostrou emails e áudios de outras autoridades que Bolsonaro mandava ""falar com ele""...Vai…']"
413,['Aguardo ansiosamente ver o queridíssimo Sr. Jair Bolsonaro preso 😍']
414,"['RT @senadorhumberto: Entre os casos, estão irregularidades em fundos de pensão, participação em esquema de caixa 2, improbidade administrat…']"
415,['@deltanmd Quem mandou matar Bolsonaro até hoje não se descobriu vergonhoso']
416,['@DaniloGentili Eu observo a humanidade todos os dias. Jair M. Bolsonaro e mentiroso e mais um motivo para eu deixar… https://t.co/CVYmuzzjoo']
417,"['@sil_alle @revistabula MORO  ARMOU  TUDO,   DESDE   OS  PROCESSOS  DE LULA..É  UM PSICOPATA  PERIGOSO.\nhttps://t.co/oSqUdzjVg1']"
418,['RT @Lei45Manzani: @EBrasiliense Espero que tinha dito e mostrado provas! O Brasil não aguenta mais dois anos de Bolsonaro!']
419,['RT @BasedPoland: Brazilian patriots and #Bolsonaro supporters are protesting in front of the Supreme Court building #STFVergonhaInternacion…']
420,['@joaoamoedonovo Exatamente! Se Bolsonaro não fosse sério não indicaria Moro. O traíra foi este!']
421,"['RT @FlavioDino: Não considero que Moro traiu Bolsonaro. Este só é presidente graças a Moro, que prendeu Lula ilegalmente. Agora, se Moro nã…']"
422,['#OrePorBolsonaro Oração e Bolsonaro.Tão aí duas coisas que eu considero inúteis.']
423,['vai se fuder bolsonaro filho da puta']
424,"['RT @gleisi: Esse é o governo que prometeu acabar com o tomá lá dá cá. Agora, ameaça seus ministros para cederem cargos em troca de apoio po…']"
425,['RT @allan_frutuozo: Barroso acaba de suspender a decisão do governo Bolsonaro de expulsar 34 diplomatas venezuelanos ligados ao narcoterror…']
426,"['RT @Marcelo19827278: Passou seis anos investigando Lula para, no fim da carreira, apresentar provas contra Bolsonaro.\nFina ironia.']"
427,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶']"
428,"['@kimpkat Breve breve teremos a intervenção,e todos os canalhas como vc,vão receber oque merece...Com intervenção to… https://t.co/X2Yu1aTEDV']"
429,['RT @o_antagonista: Moro apresenta novas provas e reafirma acusações a Bolsonaro em depoimento na PF https://t.co/aXOm9JaO0A']
430,"['RT @felipeneto: Um dos grandes orgulhos que tenho foi ter fechado a porta pra Jovem Pan anos atrás.\n\nHoje, vendo a empresa se tornar uma pe…']"
431,['RT @nancycunha11: Recado para quem fica endeusando o presidente Bolsonaro! https://t.co/M65abHcw0B']
432,"['RT @leandroruschel: Ministro do Supremo deixa amigo no comando da PF.\n\nLula tem amigo na presidência do STF.\n\nMoro dá depoimento a amigo, d…']"
433,['@OReidoGado8 Ai mano cagar respeita o voto de todos se você tá ofendendo eleitor do Bolsonaro você tá ofendendo mai… https://t.co/cDZzJ1bvmS']
434,"['Se todo pessoal que está nas ruas nesse isolamento for eleitor do Bolsonaro então ele vai ser eleito de novo ,aqui… https://t.co/8WVkjESVnP']"
435,['RT @folha: Bolsonaro volta a provocar aglomeração após país ultrapassar 6 mil mortos por coronavírus \n\nhttps://t.co/zCTd7bc3t3']
436,"['RT @arthurmoledoval: Bolsonaro, num ato de quase masturbação narcisista, sai às ruas para ser abraçado pelo ""povo"" no dia que Moro depõe.…']"
437,"['Essa é a postura de um grande líder. Esse nosso presidente é escolhido por Deus, só pode!… https://t.co/yLtD2yRtZg']"
438,['...']
439,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶']"
440,"['@joicehasselmann @cirogomes @jairbolsonaro @joicehasselmann , na continuidade da biografia de @SF_Moro , como vai i… https://t.co/xzIDeMtpce']"
441,['RT @edilomcardoso: Temos os generais\nTemos a ABIN\nNinguém sabia que Moro estava compilando farto material para derrubar o presidente Bolson…']
442,['https://t.co/ekfoJ6BPrA']
443,['@revistaforum Esse cara já era pra está preso. Daqui a pouco caducar. Essas coisas que Bolsonaro cobrava do ministrofake']
444,"['RT @allan_frutuozo: Weintraub, Moro, Bolsonaro e o #GolpeDeEstado https://t.co/oScADudDED']"
445,['RT @Manuel71589484: @mjmacul_lima @Biakicis @GloboNews @MajorVitorHugo @Haddad_Fernando @SF_Moro @LulaOficial Lembram-se q em todas as reun…']
446,"['RT @pastordri: O Golpe contra o PR Bolsonaro está em ANDAMENTO , você está pronto(a) para regir caso tentem derrubá-lo ? @jairbolsonaro\n\n d…']"
447,"['RT @oiIuiz: STF mandou Bolsonaro e Ernesto suspenderem a expulsão de diplomatas venezuelanos a pedido do deputado Paulo Pimenta, do PT.\n\n""E…']"
448,"['Mais uma vez o Partido que deveria defender os trabalhadores, defende um ditador que escraviza sua população enquan… https://t.co/kRg8EHACOq']"
449,"['@Soupluraledemo1 Ué, o PT acusou Moro de condenar o Lula porque previu a eleição de Bolsonaro, e assim  ser ministr… https://t.co/nWDcntDDFA']"
450,['RT @OIKCRL: queria fuder c vc igual o bolsonaro ta fudendo com o país']
451,['RT @maurofagundess: Sérgio Moro Catalogou 15 meses de conversa com Bolsonaro.\nAinda acreditam que ele não faz parte de um plano?']
452,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶']"
453,"['RT @gugachacra: Em excelente debate na @GloboNews , Ciro Gomes e João Amoedo concordam que não há condições de Bolsonaro terminar o mandato…']"
454,['@jairbolsonaro Fudeo Bolsonaro. sua casa caiu']
455,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶']"
456,['@naoestou_avenda Vamos ter a reedição do mensalão.  Bolsonaro dizendo que não sabia de nada. Que eram seus assessor… https://t.co/T3KhYptvAv']
457,['RT @ricardope: Alguma dúvida de que um debate entre Haddad e bolsonaro teria dado um resultado diferente à eleição de 2018? Eu não tenho ne…']
458,['RT @dinotv: Michelzinho Temmer &gt;&gt;&gt;&gt;&gt;&gt; Renan Bolsonaro https://t.co/PqKAJlblSm']
459,['@jairbolsonaro Boa noite Bolsonaro e confio em você mais você é verdadeiro mesmo são tantas coisas que está acontec… https://t.co/zMuv1dK6gf']
460,['Faz aí Fora Fora Bolsonaro!#AlokEmCasa']
461,"['RT @lacombeopressor: Na eleição presidencial de 2018 viviam chamando o até então candidato Jair Bolsonaro de ditador, o tempo passa, e hoje…']"
462,"['RT @reporterenato: De acordo com uma fonte na PF, terminou há pouco o depoimento do ex-ministro Sergio Moro. Ele detalhou as acusações cont…']"
463,"['RT @fabio_turetta: @ElisaMS9 @suruagymotta Presidente Bolsonaro foi conversar com caminhoneiros , abraçou o povo, deu beijinhos , apertos d…']"
464,"['@joicehasselmann @cirogomes @jairbolsonaro Caramba a inveja é uma merda, votamos no bolsonaro pela sua honestidade… https://t.co/ZzNphDK8uL']"
465,['@prispg Justo eles que desde janeiro não aceitam o Bolsonaro....olha só...q hipocrisia...kkkk']
466,['RT @ColunaCH: https://t.co/U3imDJh9KS']
467,"['RT @carlosjordy: Apesar da crise decorrente do coronavírus e da turma do quanto pior melhor, PR Bolsonaro lidera todos cenários p/ 2022. Va…']"
468,"['@arte_prima @wagnermereb @NatuzaNery @Haddad_Fernando MORO  ARMOU  TUDO,   DESDE   OS  PROCESSOS  DE LULA..É  UM PS… https://t.co/dRLqQWdZKN']"
469,"[""RT @oibrisa: Eduardo Costa chora em live, faz elogios a Michelle Bolsonaro e causa polêmica: 'que mulher, meu Deus' https://t.co/uKtYjJaPkV""]"
470,['RT @Helo_Caum: o ciro gomes: eu to aprendendo a ser mais moderado\n\no ciro gomes 3 segundos depois: pq quem ta promovendo a morte no brasil…']
471,"['RT @rodrigo14525934: Se todo pessoal que está nas ruas nesse isolamento for eleitor do Bolsonaro então ele vai ser eleito de novo ,aqui na…']"
472,['@UNA2010 @edcar1811 Nós brasileiros cansamos de tudo no Brasil acabar em pizza!\nO Brasil é nosso!  Elegemos Bolsona… https://t.co/ORvJ9D1EGl']
473,"['RT @BrazilFight: URGENTE - ACABOU O DEPOIMENTO DE MORO\nDepois de mais de quase oito horas, acabou o depoimento de Sergio Moro para apresent…']"
474,"['RT @BarbosaIzaura: Moro não foi Ministro, foi um espião. https://t.co/l99vYlCSxC']"
475,['&gt;&gt;PARA O @STF_oficial .😎👉🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷']
476,['RT @HaddadDebochado: 🚨ATENÇÃO: Desembargadora PLANTONISTA do TRF-3 atende governo federal e desobriga Jair Bolsonaro de divulgar hoje resul…']
477,['RT @guilherme_amado: Gilmar Mendes acusa Moro de ter vazado delação de Palocci para beneficiar Bolsonaro https://t.co/MdNfrKkger']
478,"['RT @revistaforum: ""Bolsonaro cometeu crime de responsabilidade. O atentado contra a democracia é o principal. Nós não podemos tolerar"", dis…']"
479,"['RT @samuraixodo: ""Ele se transforma num picles Moro,\neu achei muito engraçado""\n\nteria dito o Presidente Jair Bolsonaro']"
480,"['RT @MarcosOpressor: A pressa pra ouvir Moro hoje (5 dias? haha), é parte do projeto do PSDB para impedir que Bolsonaro nomeie uma pessoa co…']"
481,"['RT @BrazilFight: ROLANDO NAS REDES\n""Urgente, STF vai investigar porque Jair Bolsonaro indicou Michelle Bolsonaro para ser primeira-dama.""\nD…']"
482,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶']"
483,['RT @jose_simao: “Bolsonaro busca diretor tampão para PF”. Nomeia o Sempre Livre! 🤣🤣🤣']
484,['RT @leandroruschel: Só com golpe para derrubar.\n\nhttps://t.co/5oh8xhSKMH']
485,"['RT @PATRlOTAS: Moro entregou para PF conversas não só com Bolsonaro, também entregou conversas que teve com ministros do governo. O Judas t…']"
486,"['RT @viniciussexto: Deu na mídia: ""Moro delata Bolsonaro com advogado que já atuou para Marcelo Odebrecht e Eduardo Cunha"". O advogado é tão…']"
487,['RT @Haddad_Fernando: Moro não sabe se delata Bolsonaro para não se incriminar: a prova de que a terra é redonda!']
488,"['RT @gugachacra: Em excelente debate na @GloboNews , Ciro Gomes e João Amoedo concordam que não há condições de Bolsonaro terminar o mandato…']"
489,"['Eu só concordo com meus amigos qdo o assunto é bolsonaro, qdo o assunto é outro eu deixo bem claro pq estou certo… https://t.co/eodijtIjrU']"
490,['¡ESPERA QUE SE REANUDEN PRONTO! Presidente de Brasil manifestó que quiere la vuelta de los campeonatos de fútbol de… https://t.co/e4YqpyuAhc']
491,"['RT @blogdojefferson: O TRF-3, acertadamente, suspendeu decisão da juíza federal que exigiu entrega dos exames de Bolsonaro em um prazo de 4…']"
492,['RT @turquim5: Gilmar Mendes (STF) diz que Moro vazou delação de Palocci para favorecer Bolsonaro e prejudicar Haddad. \nÉ crime que fala?']
493,['RT @MarleneFFL: Nos vamos levantar o nosso Brasil junto com o presidente Bolsonaro!\nMade in Brasil...\nFEITO NO BRASIL 💪💪🇧🇷🇧🇷 https://t.co/s…']
494,"[""RT @allantercalivre: 🚨 URGENT: The Brazilian Supreme Court just overturned Bolsonaro's decision and returned the Venezuelan Embassy to the…""]"
495,"['@lnredivo @JovemPanNews @RobertoLuiz7 Como pró fundão? Foi Bolsonaro que aprovou ou foi uma MP dele?\n\nBolsonaro, go… https://t.co/vPF1KAEXJM']"
496,"['RT @Adriferrari8: Kkk não tão inocente assim ,mas... #Bolsonaro']"
497,['RT @Trom_Petista: URGENTE! Ministro do STF suspende expulsão de 34 diplomatas venezuelanos do Brasil | Política | G1. Barroso atendeu o ped…']
498,['RT @fdbedout: Brasil reporta este sábado  4.970 casos nuevos de Coronavirus y 421 muertes. Se acerca a los 100.000 mil casos. El efecto ya…']
499,['@Diego1Amorim Votei no Bolsonaro e não coloco a mão no fogo por ele e nenhum político. Mas não aceito que achem nor… https://t.co/VL5gG4GDU7']
500,['Judas é Bolsonaro traindo os seus eleitores ao fazer associação com as piores figuras do Centrão. A velha política… https://t.co/JevFomH77d']
501,['RT @PartidoPSUV: Jorge Arreaza: Asociación de Juristas de Brasil repudian la postura de Bolsonaro contra Venezuela https://t.co/uJ5vDF9nkq…']
502,['Uso de máscara também é recomendado para o queixo não cair toda vez que Bolsonaro fala https://t.co/RKzAFHbS7b']
503,['RT @Helo_Caum: o ciro gomes: eu to aprendendo a ser mais moderado\n\no ciro gomes 3 segundos depois: pq quem ta promovendo a morte no brasil…']
504,"['RT @mariadorosario: “Precisamos de uma mudança urgente de postura (de Bolsonaro) coisa q infelizmente, eu ñ acredito”. \nBolsonaro é mesmo u…']"
505,['RT @OPUS10N6: parece ironia querer dormir cedo no seculo da ansiedade pandemia internet governo bolsonaro depressao home offic']
506,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶']"
507,['RT @douglasrafaelJS: Até a Joice Cirou. https://t.co/I9VQE0TIKf']
508,['RT @edilomcardoso: Temos os generais\nTemos a ABIN\nNinguém sabia que Moro estava compilando farto material para derrubar o presidente Bolson…']
509,"['RT @PATRlOTAS: Bolsonaro lidera corrida para eleições de 2022 em todos os cenários, diz pesquisa. Via:@gazeta_brasil \nhttps://t.co/G15BW4f8…']"
510,"['@lolaescreva @PereiraSdc ‘É hora de colocar um ponto final  no governo Bolsonaro...."".......... https://t.co/4xQewVvZLL']"
511,"['RT @OLulaEstaPreso: EM CRISTALINA - GOIÁS (02/05/20), BOLSONARO COME PASTEL EM LANCHONETE. O PROPRIETÁRIO INFELIZMENTE MANDARÁ METADE DOS S…']"
512,"['RT @reportersalles: Moro está prestando depoimento há 7 horas. A demora deve ser pelo jeito que ele fala: ""Bom, eeeeeeeeeeeeeeer, eu fui um…']"
513,"['RT @RenovaMidia: AGU apresentou um relatório médico da coordenação de saúde da Presidência, datado do dia 18 de março, que aponta dois test…']"
514,"['RT @Marco_Teruggi: #Brasil Sergio Moro declaró contra Bolsonaro en la policía federal de Cutivia. Bolsonaro lo llamó ""Judas"". Afuera se pel…']"
515,['RT @LiloVLOG: Até agora eu fico pasmo de gente cair nessa história de Bolsonaro é o novo PT. Ficamos anos explicando o comunismo pra chegar…']
516,['RT @PATRlOTAS: Adolf Witzel dizendo que se arrependeu de ter apoiado Bolsonaro é a piada do dia. O sujeito se elegeu pendurado nas bolas do…']
517,['Bolsonaro admite que quer ter acesso a relatórios de inteligência diretamente da PF todos os dias. é previsto na co… https://t.co/vXX7XcnWld']
518,['RT @bruvitg: boa noite e fora Bolsonaro! amém.']
519,"['RT @Bolsoneas: Ore por Bolsonaro, ore pelo Brasil!\n#OrePorBolsonaro https://t.co/K8wwbiSjDb']"
520,['@leandroruschel In BOLSONARO we trust. In Moro we dont give a fuck.']
521,['RT @WORD_NEWSS: Bolsonaro viaja e Mourão chama chaveiro para trocar fechadura do Planalto. https://t.co/8bYYnzVqzO']
522,"['RT @jandira_feghali: Desespero que fala, né minha filha.\n\nhttps://t.co/4Kx80DF4YD']"
523,"['RT @PATRlOTAS: Moro entregou para PF conversas não só com Bolsonaro, também entregou conversas que teve com ministros do governo. O Judas t…']"
524,"['RT @naoestou_avenda: Segundo o ANTAGONISTA, Moro mostrou emails e áudios de outras autoridades que Bolsonaro mandava ""falar com ele""...Vai…']"
525,"['RT @Bolsoneas: Ore por Bolsonaro, ore pelo Brasil!\n#OrePorBolsonaro https://t.co/K8wwbiSjDb']"
526,['RT @PATRlOTAS: Adolf Witzel dizendo que se arrependeu de ter apoiado Bolsonaro é a piada do dia. O sujeito se elegeu pendurado nas bolas do…']
527,"['O povo brasileiro detesta traidores.Moro traiu,primeiramente,o povo e vendeu-se para trair Bolsonaro.Deve ter induz… https://t.co/7AiGvS3ozd']"
528,"['RT @thonycezarino: Dória, gastou 549 milhões na compra de 3 mil respiradores. \nBolsonaro, gastou 75 milhões na compra de 3 mil e 300 respir…']"
529,['RT @juce_m3817: Passando pra avisar que \nJair Bolsonaro é o meu herói! ♥️\n\nÓtima noite a todos!']
530,['RT @carlosjordy: O indivíduo que grava por 15 meses conversas com um aliado bom sujeito não é. Ainda bem que o Presidente Bolsonaro é uma p…']
531,"['RT @DanFernandesOMG: @opropriopontes @FriedHardt ""Além das mensagens de WhatsApp, ele apresentou emails e áudios de conversas – dele e de f…']"
532,['RT @villela206: *Bolsonaro* serviu para eleger:\nAlexandre Frota\nArthur do Val\nCarlos Moisés \nDayane Pimentel \nDelegado Waldir \nFelipe Franc…']
533,"['Moro, ainda solto, comeu pizza no prédio da PF ao lado da cela de Lula, que segundo ele, foi melhor que Bolsonaro.']"
534,"['RT @GonzalysM: @JovemPanNews Votei, votaria novamente em Jair messias Bolsonaro, desde que não viesse com seus filhos como assessório que c…']"
535,"[""RT @allantercalivre: 🚨 URGENT: The Brazilian Supreme Court just overturned Bolsonaro's decision and returned the Venezuelan Embassy to the…""]"
536,['@Min_AM_Apoio Golpe contra o nosso amado PR. Bolsonaro\n#GolpeDeEstadoNao']
537,['@Desmentindo_ @BeethovenLima2 No meu perfil tem uma pesquisa a todo vapor e o Bolsonaro com 94% dos votos.']
538,['Quando me perguntam de que lado eu estou na treta do Bolsonaro e do Moro: https://t.co/809H7zTHIv']
539,['RT @GlaucoS41843642: Haddad acabou com o Líder do Governo Bolsonaro na Câmara e ainda deixou claro que não temos governo! #HaddadNosReprese…']
540,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶']"
541,['RT @yoonspoesie: acreditem sim🗣🗣🗣🗣\n\nass: eu mesma']
542,['RT @augustodeAB: As pessoas de camiseta da seleção brasileira e faixas do Moro estão sendo xingadas de COMUNISTAS pelas pessoas de camiseta…']
543,['RT @bolsotroopers: Olhem como está Brasília hoje a noite.\nAs manifestações do Povo Brasileiro Patriota a favor do nosso Presidente Bolsonar…']
544,"['RT @leandroruschel: Ministro do Supremo deixa amigo no comando da PF.\n\nLula tem amigo na presidência do STF.\n\nMoro dá depoimento a amigo, d…']"
545,"['RT @Bolsoneas: Se eu me arrependi de ter votado no Bolsonaro? Rapaz, eu já estou preparando a campanha de 2022!\n#EuApoioBolsonaro']"
546,['@o_antagonista Bolsonaro hoje não dorme']
547,"['RT @siri_william: ""A nossa economia estava voando alto no final do ano passado"". VITOR HUGO, Major \n\nEles estão vivendo no mesmo Brasil que…']"
548,['RT @direitafisio1: Bora votar? https://t.co/7uT5ZpYY6g via @ImprensaGlobal']
549,"['RT @mesmaaltura: Renan Bolsonaro e Fidel Castro \n1,90m https://t.co/dRJyyfqo08']"
550,['RT @o_antagonista: Moro apresenta novas provas e reafirma acusações a Bolsonaro em depoimento na PF https://t.co/aXOm9JaO0A']
551,"['RT @deputadomoraes: Ele é a única chance que nós temos! Ore por Bolsonaro, ore pelo Brasil!\n#GolpeDeEstado https://t.co/WvnDKekfUV']"
552,['@pauloxisto @BlogdoNoblat Kkkkkkkk\n\nAdoro quando vcs fazem enquetes dentro da propria bolha e acham que estao arreb… https://t.co/X0TEzBz8ib']
553,"['@CSA1103 @ElianePed3 @ConversaAfiada MORO  ARMOU  TUDO,   DESDE   OS  PROCESSOS  DE LULA..É  UM PSICOPATA  PERIGOSO.\nhttps://t.co/oSqUdzjVg1']"
554,['RT @BasedPoland: Brazilian patriots and #Bolsonaro supporters are protesting in front of the Supreme Court building #STFVergonhaInternacion…']
555,['O bolsopetismo trabalhando a todo vapor! Fazendo força pra reeleição do Bolsonaro!!!  E vão conseguir...\nDefinitiva… https://t.co/p8B3WAHG8H']
556,"['RT @PastorMalafaia: O MAQUIAVELISMO DE MORO 2 &gt; Se a Globo mostrar conversas dele com Bolsonaro , fica comprovado o acordo que ele tem com…']"
557,"['RT @carmelonetobr: Divulgaram que o Moro gravou o presidente Bolsonaro por 15 meses. Se isso realmente for verdade, é sem dúvida uma das ma…']"
558,"['RT @Bolsoneas: Ore por Bolsonaro, ore pelo Brasil!\n#OrePorBolsonaro https://t.co/K8wwbiSjDb']"
559,"['RT @FINC0: ""Infelizmente o governo Bolsonaro mais atrapalha do que ajuda. Ele não tem nem sequer estatura para ser transparente nós seu exa…']"
560,['Toda hora chega um tweet DESMOTIVACIONAL de alguém da esquerda.\n\nFica difícil combater o bolsonarismo se a esquerda… https://t.co/hVn7M4qVAE']
561,['RT @Cellbita3301: Ninguém:....\nNinguém mesmo:...\nCalango: PLOT TWIST O LETÍCIO É O BOLSONARO\n#OSegredoNaFloresta https://t.co/eSSeQQQz2s']
562,['RT @jpgadelhaof: Moro não é Judas e Bolsonaro não é o Messias. Ambos são políticos que precisam parar de se escorar na Bíblia e assumir sua…']
563,['Uma jornada de trabalho']
564,"['RT @PastorMalafaia: MAIS UMA USURPAÇÃO DO STF ! Em qualquer lugar do mundo democrático , é prerrogativa do executivo determinar a expulsão…']"
565,['RT @AllineSapore: Bolsonaro agora a tarde saindo de um posto de gasolina onde almoçou. \n\nEnquanto o judas entrou pela porta dos fundos em C…']
566,['RT @edsonsalomaomc: Critérios diferentes pra julgar casos idênticos. Enquanto quem se manifesta contra Jair Bolsonaro exerce sua liberdade…']
567,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶']"
568,"['RT @joicehasselmann: E triste ter q admitir q @cirogomes tem razão sobre @jairbolsonaro. Acho Ciro perigoso, sempre disse. É esquerdista e…']"
569,"['@Jake12247596 @Leitadas_L0en Estou apontando especificamente ilegalidade do STF numa crise entre os poderes, quando… https://t.co/jwGGrTYLvU']"
570,['https://t.co/4rcQy4Jakl']
571,['@Pablomunista Sim. Um homem que preza pelo futuro da própria nação. Para que prevaleçamos. E só pra já deixar claro… https://t.co/J0w8p5GsQI']
572,['Ser desumano é condição para fazer parte do desgoverno Bolsonaro\n#InterditemBolsonaro']
573,"['Se Moro entregou conversas de alguns ministros mais do Presidente Bolsonaro, ele seria um espião infiltrado? A serv… https://t.co/hp33oKWMJ7']"
574,"['RT @ricardope: Tem gente que acha que falta ""sangue nos olhos"" no Haddad. Ora, o bolsonaro é só ""sangue nos olhos"" e vejam aonde isso está…']"
575,['RT @Alex1964DOPS2: Esqueçam a prudência e sofisticação e escutem quem vem acertando há anos !!! https://t.co/VPzxKYXcQn']
576,['Moro apresenta novas provas e reafirma acusações a Bolsonaro em depoimento na PF https://t.co/hAWDgF7adJ']
577,['RT @carmen_smith_: URGENT - The Supreme Court of Brazil (STF) is plotting a coup with corrupt politicians to overthrow the democratically e…']
578,['RT @anavilarinol: Moro diz que apresentará PROVAS contra Bolsonaro. Coisa que nunca fez contra @LulaOficial']
579,['#OrePorBolsonaro orar p bolsonaro morrer filho da puta']
580,"['RT @allan_frutuozo: Moro compilou 15 meses de conversas com o presidente Bolsonaro, com claro intuito de acusar o presidente no futuro. Ess…']"
581,['#MoroCagueta']
582,['RT @ancapball_br: Quando me perguntam de que lado eu estou na treta do Bolsonaro e do Moro: https://t.co/809H7zTHIv']
583,['RT @DCM_online: Advogada de Bolsonaro diz que presidente não teme depoimento de oito horas de Moro: “Nunca fez nada ilegal” https://t.co/kW…']
584,['@arthurmoledoval Mas o Bolsonaro fazia isso em qualquer dia. Só essa semana umas 3 vezes.']
585,['@_menino_lucas_ @Myllatito3 @doug_tri @arthurmoledoval Quando Bolsonaro for CONDENADO ai sim dá pra começar a compa… https://t.co/oDsbl5BWfH']
586,"['RT @WolfConservador: A intenção de Moro em entregar 15 meses de conversas não é expor crime algum, mas sim expor conversas privadas entre e…']"
587,"['RT @chinaina: Tá rolando uma tag ore pro bolsonaro...mas bicho, não sei nada de liturgia satânica. \nVou ficar devendo essa.']"
588,"['RT @PauloFaria88: Rapaz, o Mundo realmente não dá voltas, ele capota!!! 😁 #CiroNaGloboNews']"
589,"['RT @reportersalles: Moro está prestando depoimento há 7 horas. A demora deve ser pelo jeito que ele fala: ""Bom, eeeeeeeeeeeeeeer, eu fui um…']"
590,"['RT @antoniotabet: Moro está depondo há 8 (oito!) horas na Polícia Federal. Ou seja, duvido que o assunto seja só Jair Bolsonaro. O presiden…']"
591,"['RT @junioradvrn: Qual foi a maior decepção dos que se aproveitaram da onda Bolsonaro,? Vote é dê RT']"
592,['RT @fdbedout: Brasil reporta este sábado  4.970 casos nuevos de Coronavirus y 421 muertes. Se acerca a los 100.000 mil casos. El efecto ya…']
593,['RT @OPUS10N6: parece ironia querer dormir cedo no seculo da ansiedade pandemia internet governo bolsonaro depressao home offic']
594,['RT @prisonlbreakl: eu sou a favor das pessoa naturalizar o chorar \n\nnao precisa vim com espanto  tipo MEU DEUS PQ VC TA CHORANO?????????\n\na…']
595,['@viotrgama @moura_101 @Pilar_Agata15 Denunciar os atos irresponsáveis do Bolsonaro = jogar o BR no precipício.\n😂😂😂😂😂']
596,"['RT @TheLucasLange: A pergunta não é ""Quem mandou matar Bolsonaro?""\n\nA pergunta é:\nPor que não conseguiu?\n\nA resposta: Porque nunca houve es…']"
597,['RT @delucca: Acabou a prova de resistência do líder e parece que Sérgio Moro vai colocar Bolsonaro no paredão.']
598,"['RT @JornalNoAtaque: Os Antas já sabem até que Moro entregou, além das conversas de Zap, e-mails e áudios dele e de funcionários que autoriz…']"
599,['RT @MacieskiC: Carreata pró Bolsonaro em Curitiba #FechadoComBolsonaro https://t.co/RC1iaW2NfL']
600,['Os estaduais fazendo mais que os frouxos dos deputados federais que dizem apoiar Bolsonaro.']
601,"['@joaoamoedonovo MORO  ARMOU  TUDO,   DESDE   OS  PROCESSOS  DE LULA..É  UM PSICOPATA  PERIGOSO.\nhttps://t.co/oSqUdzjVg1']"
602,"['@Jouberth19 Agora, orando por Bolsonaro! \n#OrePorBolsonaro']"
603,['RT @acioli_s: Depoimento de um verdadeiro conhecedor de quem é o Jair Bolsonaro. https://t.co/yDxihR1JdW']
604,"['RT @ConservadorFur1: Há, com toda certeza, mais Iscariotes!!! #OrePorBolsonaro https://t.co/iG5Fw27TZx']"
605,"['RT @GeorgMarques: Bolsonaro pressiona @ReceitaFederal a perdoar dívidas de igreja evangélica. A Igreja Internacional da Graça de Deus, fund…']"
606,"['RT @bolsoficial38: Sérgio Moro estava no governo para espionar O presidente Bolsonaro. Os esquerdistas chamavam Moro de agente do FBI , mas…']"
607,"['RT @DanFernandesOMG: @opropriopontes @FriedHardt ""Além das mensagens de WhatsApp, ele apresentou emails e áudios de conversas – dele e de f…']"
608,"['Eita que segunda feira promete, quem vai as compras na B3 sou eu.']"
609,['RT @fernandatanaka_: O Moro entregou 15 meses de conversas com Bolsonaro... E a gente achando que o hacker do Verdevaldo é que era FDP...']
610,['RT @esmaelmorais: Ciro e Amoedo pedem ‘Fora Bolsonaro’ em debate na GloboNews https://t.co/EzJbq0BAXk https://t.co/3bmzppaNDp']
611,['RT @Haddad_Fernando: Bolsonaro nunca foi do baixo clero; sempre foi um pária. O dilema real que o aflige é de natureza econômica. Ele  terá…']
612,['RT @Carla_catwoman: Quer dizer que enquanto Bolsonaro carregava Moro pros estádios para mostrar a todo Brasil seu apoio a Moro na época da…']
613,"['RT @viniciussexto: Amoedo e Ciro Gomes se uniram na Globo News para atacar Bolsonaro. Se Amoedo fosse de direita, não atacaria um correligi…']"
614,"['RT @jandira_feghali: Exigimos solução IMEDIATA incluindo os leitos dos hospitais federais no atendimento da pandemia, convocação do banco d…']"
615,"['@FMouraBrasil Bolsonaro e Moro são farinha do mesmo saco. A diferença é que o primeiro é burro, e o segundo é cínic… https://t.co/Jfb2OMWEJm']"
616,"['RT @jaarreaza: La Asociación Brasileña de Juristas por la Democracia junto a partidos y organizaciones sociales de Brasil, repudian la post…']"
617,['RT @clapiclapiclapi: disse o homem que nunca trabalhou']
618,"['RT @AngelpeloBrasil: @JanainaDoBrasil Compra um vibrador @JanainaDoBrasil sério vc precisa!!\n\nE detalhe,.\nBolsonaro não te quer não. \nMiche…']"
