,tweets
91,['@DanielLobo27 @Umberto_Ferreir @arthurmoledoval Que antissistema é esse que abraçou o centrão. Tá loteando todos os… https://t.co/RdDJRCpV84']
92,['#OrePeloBolsonaro']
93,['RT @augustodeAB: As pessoas de camiseta da seleção brasileira e faixas do Moro estão sendo xingadas de COMUNISTAS pelas pessoas de camiseta…']
94,['@wilmoreira @gugachacra @zehdeabreu @GloboNews Responsável foi quem não votou no Ciro no 1 turno sabendo que o Bols… https://t.co/socxAiQrrm']
95,['RT @MarceloFreixo: A fórmula de Bolsonaro é essa: intervenção na PF para salvar os filhos da cadeia e loteamento de cargos para o centrão p…']
96,['RT @Alanghani: PSDB:\n\nNão derrubou Lula no mensalão.\nNão foi oposição ao petismo\nApoiou o impeachment de Dilma aos 50 do 2 tempo\nEram morno…']
97,['@MajorVitorHugo Vc foi um fiasco! Sua mente foi invadida pelo bolsonaro???']
98,"['RT @oiIuiz: STF mandou Bolsonaro e Ernesto suspenderem a expulsão de diplomatas venezuelanos a pedido do deputado Paulo Pimenta, do PT.\n\n""E…']"
99,"['RT @BlogdoNoblat: O impeachment de Dilma fez parte do processo democrático, diz o deputado Vitor Hugo, líder do governo na Câmara. Mas o de…']"
100,['RT @ravoxbrasil: PROVA DE FOGO. Alguma vez o Presidente Bolsonaro te traiu?']
101,['RT @Haddad_Fernando: Bolsonaro nunca foi do baixo clero; sempre foi um pária. O dilema real que o aflige é de natureza econômica. Ele  terá…']
102,"['RT @_SaraWinter: Não foi Sérgio Moro, não foi João Doria, não foi Wilson Witzel, foi Jair Bolsonaro que foi eleito com 57.796.986 votos par…']"
103,['RT @marxlboro: imagina vc ser a combinação das duas coisas mais insuportáveis do mundo\n\nestudante de direito E filho do bolsonaro https://t…']
104,['2016 a 2018 via impeachment trocamos uma presidente honrada (contém ironia) pelo Temer. Apesar das denúncias de cor… https://t.co/pNV4NhPEQb']
105,"['RT @BasedPoland: Brazilian &amp;Polish Supreme Court are similar\n\n1 If they can help communists, they do it\n\n2 When the democratically elected…']"
106,"['Bolsonaro não nomeou um ministro, nomeou um espião.']"
107,"['@monicabergamo A maior culpada é esta Janaina Paschoal, que fica tendo chiliques, e não contribui em nada ao País,… https://t.co/ZsqoAXEoWQ']"
108,['Não ficou nada...\nO marreco ferrou o mijair  total...\nAgora não sei o q vai acontecer...\nTô até preocupada...\n🙄😷… https://t.co/Pygh3t0tpC']
109,['Moro foi o verdadeiro cavalo de Tróia do Governo. #MoroX9Traidor']
110,"['@Khlopomanstvo Pra depor por 8 horas, deve ter mostrado até os podres dos tempos de escola do Bolsonaro.']"
111,"['RT @JornalDaCidadeO: ""Dirceu deixou bastante claro que eles tinham perdido as eleições, não o poder.""  https://t.co/YsLEv5cc4x']"
112,"['@WJuniorMetal Bolsonaro tem culpa de vc ter nascido também. Ele deve ser teu pai, pergunta pra sua mãe...']"
113,"['RT @leandroruschel: Ministro do Supremo deixa amigo no comando da PF.\n\nLula tem amigo na presidência do STF.\n\nMoro dá depoimento a amigo, d…']"
114,['RT @perereco: A briga do Moro com o Bolsonaro lembra muito a briga de Obina e Maurício em 2009\n\n- Eram do mesmo time\n- O time já tava perde…']
115,['RT @artur_slo: ENQUETE\n\nVocê está com o Bolsonaro ou com o Moro?']
116,['RT @carlosjordy: O indivíduo que grava por 15 meses conversas com um aliado bom sujeito não é. Ainda bem que o Presidente Bolsonaro é uma p…']
117,"['RT @PATRlOTAS: Moro entregou para PF conversas não só com Bolsonaro, também entregou conversas que teve com ministros do governo. O Judas t…']"
118,['RT @nao_muito: curitiba é onde a ironia vai pra morrer https://t.co/i8a9Zcxpkq']
119,"['RT @IsaakDinensen: Eu votei no Bozo, fiz campanha pra ele e o apoiei até anteontem. Mas o culpado é vc q fez campanha contra ele desde o pr…']"
120,['RT @nancycunha11: Recado para quem fica endeusando o presidente Bolsonaro! https://t.co/M65abHcw0B']
121,"['RT @revistaforum: ""Bolsonaro cometeu crime de responsabilidade. O atentado contra a democracia é o principal. Nós não podemos tolerar"", dis…']"
